codigo_ponto;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;analises_quimicas__amostra;analises_quimicas__data_da_coleta;analises_quimicas__condutividade_eletrica_s_cm;analises_quimicas__qualidade_da_agua_pt_co;analises_quimicas__sabor_da_agua;analises_quimicas__qualidade_da_agua_odor;analises_quimicas__temperatura_co;analises_quimicas__turbides_ntu;analises_quimicas__solidos_suspensos_mg_l;analises_quimicas__solidos_sedimentaveis_mg_l;analises_quimicas__aspecto_natural;analises_quimicas__parametro;analises_quimicas__unidade
2900029437;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029437;data/raw/html_pocos/2900029437.html;;;2026-04-10T17:28:41.798847+00:00;CORPORE 24371/14;16/11/2014;0;0;;;;;;;;;
2900029437;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029437;data/raw/html_pocos/2900029437.html;;;2026-04-10T17:28:41.798847+00:00;CORPORE 24371/14;16/11/2014;0;0;;;;;;;;;
2900029438;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029438;data/raw/html_pocos/2900029438.html;;;2026-04-10T17:28:42.193856+00:00;CORPORE 24319/14;23/10/2014;0;0;;;;;;;;;
2900029438;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029438;data/raw/html_pocos/2900029438.html;;;2026-04-10T17:28:42.193856+00:00;CORPORE 24319/14;23/10/2014;0;0;;;;;;;;;
2900029439;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029439;data/raw/html_pocos/2900029439.html;;;2026-04-10T17:28:42.584671+00:00;CORPORE 24372/14;14/11/2014;0;0;;;;;;;;;
2900029439;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029439;data/raw/html_pocos/2900029439.html;;;2026-04-10T17:28:42.584671+00:00;CORPORE 24372/14;14/11/2014;0;0;;;;;;;;;
2900030940;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030940;data/raw/html_pocos/2900030940.html;;;2026-04-10T17:28:42.990805+00:00;CORPORE 25483;03/09/2017;1690;5;;;;;;;;;
2900030940;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030940;data/raw/html_pocos/2900030940.html;;;2026-04-10T17:28:42.990805+00:00;CORPORE 25483;03/09/2017;1690;5;;;;;;;;;
2900030941;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030941;data/raw/html_pocos/2900030941.html;;;2026-04-10T17:28:43.385571+00:00;CORPORE 25492;15/08/2017;1486;5;;;;;;;;;
2900030941;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030941;data/raw/html_pocos/2900030941.html;;;2026-04-10T17:28:43.385571+00:00;CORPORE 25492;15/08/2017;1486;5;;;;;;;;;
2900030942;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030942;data/raw/html_pocos/2900030942.html;;;2026-04-10T17:28:43.778059+00:00;CORPORE 25564;07/08/2017;2397;5;;;;;;;;;
2900030942;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030942;data/raw/html_pocos/2900030942.html;;;2026-04-10T17:28:43.778059+00:00;CORPORE 25564;07/08/2017;2397;5;;;;;;;;;
2900030943;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030943;data/raw/html_pocos/2900030943.html;;;2026-04-10T17:28:44.166257+00:00;;;;;;;;;;;;;
2900030943;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030943;data/raw/html_pocos/2900030943.html;;;2026-04-10T17:28:44.166257+00:00;;;;;;;;;;;;;
2900030944;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030944;data/raw/html_pocos/2900030944.html;;;2026-04-10T17:28:44.557447+00:00;CORPORE 25800;27/05/2018;127;5;;;;;;;;;
2900030944;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030944;data/raw/html_pocos/2900030944.html;;;2026-04-10T17:28:44.557447+00:00;CORPORE 25800;27/05/2018;127;5;;;;;;;;;
